GENERAL CONCEPT (GOAL),STRATEGIES,ADAPT TYPE,SOUTHEAST COASTAL CLIMATE HAZARDS,SOUTHWEST CLIMATE HAZARDS,CULTURAL RESOURCE IMPACTS FROM CLIMATE HAZARD(S),ENVIRONMENTAL SETTING / CONTEXT (MACRO-SCALE),ARCHEOLOGY SUBTYPES,CULTURAL LANDSCAPES SUBTYPES,MUSEUM COLLECTIONS SUBTYPES,HISTORIC STRUCTURES SUBTYPE,FEASIBILITY ,NOTE(S),LONGEVITY ,NOTE(S),BEST PRACTICE GUIDANCE,HISTORIC RESOURCE CONSIDERATIONS,(if applicable/known)           TRIBAL CONSIDERATIONS             ,CASE STUDY REFERENCE,EFFECTIVENESS ,NOTE(S),CITATION - NAME,CITATION - LINK,PG #
,Install metal or engineered flood barriers and shields at doors and low windows,PROTECT (extrinsic),"Flooding (precipitation), Increased Storm Surge frequency & severity",,,SE - Coastal,,,,"building, (immediate) site",MED,Some products are custom or engineered,LONG,Designed for high durability and reuse,FEMA P-804,Minimize visibility; install gaskets/channels with color-matching,,"Charleston, SC",MAX,High protection when installed correctly,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",,R6.9
Improved Anchoring of specifically weak elements,"Anchoring building envelope (roof and façade elements that can be lifted by dynamic load).Ties anchoring roof to masonry frames reinforced, decorative elements inspected and anchoring device improved",ACCLIMATE (intrinsic),"Intensified Wind, Increased Storm Surge frequency & severity, Flooding (precipitation)","Landslides, Flash Flooding",Destruction,"SE - Coastal, SW - Mountain",,,,"building, assembly",MED,,MID to LONG,,"Improved anchoring of weak structural elements into their supporting structures will provide protection to structures that may float away such as light bridges and walkways, timber rooves, small timber structures, and dwellings.",,,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,94
Structural strengthening of whole structure,"Structural strengthening of free standing walls and elements (attic gables, ruin walls, fencing walls, chimneys, menhirs, poles). Movement of tall attic gables fixed to slender masonry stabilized by fixing them to the roof timber frame with textile ties. strengthening of light and tall buildings (towers and timber houses). Additional cables or increased ballast to prevent toppling.",ACCLIMATE (intrinsic),"Intensified Wind, Increased Storm Surge frequency & severity, Flooding (precipitation)","Flash Flooding, Landslides",Destruction,"SE - Coastal, SW - Mountain",,,,"building, assembly",,,,,,,,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,94
Replacing roofing materials,Replacing roof covering to withstand higher winds (e.g. replacing asphalt shingle roof covering with standing-seam metal),ACCLIMATE (intrinsic),Intensified Wind,,,SE - Coastal,,,,building,LOW to MED,Feasbility would depend on size of the structure and cost of reroofing it in new material. Document does not provide information on feasibility.,LONG,Longevity will depend on the material used. Standing-seam metal could extend building life,,Consider impact of such a stark change in appearance and materials,,"Marine Corps Installations East Camp LeJeune; Fort Bliss Directorate of Public Works
Divisions",,Results not reported in report  for Camp LeJeune; Fort Bliss reports that their new roofing system can withstand increased wind speeds up to 130 miles per hour.,"2023_Climate Adaptation Guide 
for Cultural Resources",,55
Maintain and revitalize cultural approaches to harvesting and caretaking,"Use honorable harvest practices when gathering non-timber forest products to give back from what is taken, for example to gather and re-plant wild ginseng berries for the next harvest.",ACCLIMATE (intrinsic),"Increased average temperature, Biological community changes",,,,,,,,,,,,,,,,,,2019 Dibaginjigaadeg Anishinaabe Ezhitwaad: A Tribal Climate Adaptation Menu,,29
Dismantling,"Dismantling parapet walls/rails, removing sculptures+decorative elements to reduce surface area resitant to the flow of water",ACCLIMATE (intrinsic),"Increased Storm Surge frequency & severity, Flooding (precipitation)",,Destruction,SE - Coastal,,,,"building, assembly",,,,,,,,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,94
Create openings,Temporary openings in free standing walls and in walls on ground floor of buildings to enable water pressure to be balanced. Create openings in floor structure to reduce the uplift pressures of the water,ACCLIMATE (intrinsic),"Increased Storm Surge frequency & severity, Flooding (precipitation)",Flash Flooding,Destruction,"SE - Coastal, SW - Mountain",,,,"building, assembly",,,,,,,,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,95
Floodwall,Constructing a floodwall around a site/property,ACCLIMATE (intrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Coastal erosion",Flash Flooding,,SE - Coastal,,,,larger site,LOW to MED,Document notes that this treatment could be costly,MID to LONG,"Longevity will depend on materials used for site wall, height, and future storm conditions",,Introducing a new site feature will impact character of a historic site.,,,,,2023 UTSA Resilience Roadmap,,90
Reduce surface damage to collections installed outside,relocate to inside of building,DISLOCATE (move),Intensified Wind,,"Erosion, Deterioration","SE - Coastal, SE - Inland",,,"Exhibited, Oversized",,LOW to MED,,,,,,,,,,,,
Lifting structure,jackets and pumps to raise building,DISLOCATE (move),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity, Inundation",,,"SE - Coastal, SE - Inland",,,,"building, assembly",,,,,,,,"Flam Church, Norway (on Miro)",,,"2020 Adaptation Stories: Examples of risk assessment, adaptation planning and conservation management of northern historic places",,7
Reduce water damage to collections,"elevate collections a minimum of 12"" off floors, higher as appropriate in buildings known to experience flooding",DISLOCATE (move),"Tidal Flooding, Increased Storm Surge frequency & severity",Flash Flooding,"Saturation, Deterioration, Dissolution","SE - Inland, SE - Coastal, SW - Desert, SW - Mountain",,,"Stored, Exhibited, Records",,MED to HIGH,,,,,,,,,,,,
Temporary Lifting Systems,Use hydraulic lift systems or buoyant/amphibious foundations to temporarily elevate buildings during flood events,PROTECT (extrinsic),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity",,,"SE - Coastal, SE - Inland",,,,"building, assembly, operations + occupancy",LOW,,LONG,,,,,"Farnsworth House, IL; Frederick, MD; Avery Island, LA",AVE,,2021 Guidelines on Flood Adaptation for Rehabilitating Historic Buildings,2021 Guidelines on Flood Adaptation for Rehbilitating Historic Buildings,121–124
Document and prepare for loss,Record a resource and then subsequently allow the geographic location of the resource to undergo full effects of environmental or other forces that are likely to destroy or remove all or portions of the resource ,ABANDON (leave),"Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion","Landslides, Flash Flooding, Increased Wildfire",,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,"larger site, building",LOW to MED,"Feasibility will depend on level of documentation and logistics, legal requirements involved in ""abandoning"" an existing resource",LONG,,"Documentation may be exhaustive, such as detailed recording of a building or structure or cultural landscape (HABS/HAER/HALS documentation or a Cultural Landscape Inventory). Documentation also may be done at a less than exhaustive level.",,,,,,2016 NPS CR Cultural Resoures Climate Change Strategy,,36
Using local traditions for adaptation,"Implementing local and regional traditions (e.g., elevating buildings) for adapting buildings and sites to specific natural hazards, when appropriate. 
",ACCLIMATE (intrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion","Landslides, Flash Flooding, Increased Wildfire",,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,"larger site, building",MED,Local/regional traditions may not always be available or helpful.,MID to LONG,Depends on the traditions in question.,,"Such traditional methods may be appropriate if they are compatible with the historic character of the building, its site, and setting",,,,,"Standards for the Treatment of Historic Properties with Guidelines for Preserving, Rehabilitating, Restoring & Reconstruction Historic Buildings",,73
Microclimate regulation,"Use tree canopy, parks, and vegetated surfaces to mitigate heat through shading and evapotranspiration",PROTECT (extrinsic),"Increased average temperature, Higher relative humidity, Biological community changes",,,"SE - Coastal, SW - Mountain",,vegetation,,"larger site, building",HIGH,Widely applicable and based on existing urban forestry practices,LONG,Trees and park infrastructure can last 50+ years,"Akbari et al., 1992; EPA Tree Planting Guide. Align with eastern and western openings for maxiumum effect. Trim branches high enough to provide shade while maintaining views and breezes around windows in summer, and that allows winter sun through in the winter. Plant trees at least 5-10 feet from the building but no more than 30 to 50 feet away (dependent on species)",May require compatibility with historic landscape character. Can help return landscape to historic character if native plants are used.,,"Sacramento, CA; Phoenix, AZ; Davis, CA",MAX,Reduces temperatures by up to 11°F in highly urban environments,2013 Building Resilience in Boston,,38
Managed loss,Consultation with community to help process loss. Appointment of an independent mediator.,TEND / TELL (aphysical),"Increased average temperature, Higher relative humidity, Flooding (precipitation), Intensified Wind, Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion, Increased Wildfire, Biological community changes","Increased average temperature, Landslides, Flash Flooding, Reduced Snowpack, Drought, Increased Wildfire, Biological community changes",,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,"larger site, building",,,,,"""Managed loss of any heritage asset may be difficult for communities to accept and could lead to tensions […] we would strongly suggest consultation with the local community where this is likely to occur.""",,,KCC historic graveyards - more information on vegetation control in section 8.3.1,,,Climate Change Risk Assessment for Kerry Graveyards,,28
